id,extroversion,neurotic,agreeable,conscientious,open,TimeSpent
179988,2.6,3.2,2.2,2.0,4.0,1.94
709510,4.2,2.8,2.4,1.6,3.4,2.24
75267,3.4,3.2,2.4,2.8,3.4,1.39
885781,2.4,2.8,2.2,3.8,2.4,1.66
445343,2.2,2.6,2.2,1.8,3.8,1.53
180850,4.4,3.2,2.4,1.8,3.4,2.67
539951,2.8,3.8,2.0,4.2,3.4,1.64
894834,2.8,3.2,2.4,3.0,4.4,0.89
780637,4.0,3.2,2.6,1.8,4.2,0.82
430633,2.6,3.4,1.6,2.2,3.4,1.34
579620,4.6,2.6,3.6,4.0,3.4,2.3
205203,1.6,3.0,2.6,3.4,2.6,1.48
251923,1.8,3.8,2.4,3.4,3.6,2.54
99275,2.6,3.4,2.8,2.2,3.2,2.65
307965,2.2,3.6,2.6,4.0,3.2,2.7
831677,3.6,2.6,2.6,2.8,4.0,1.77
568083,2.4,3.8,2.0,3.6,3.2,2.71
117145,4.8,3.4,2.6,2.2,4.2,1.92
383767,2.6,3.2,2.2,3.6,3.6,2.41
70377,4.2,2.6,1.8,2.2,4.4,1.93
370207,3.4,4.0,2.6,1.4,4.0,1.95
1010977,2.2,3.0,1.6,2.4,4.2,2.03
571745,3.2,3.2,2.2,3.4,3.6,1.18
389934,3.2,3.0,2.8,2.4,4.2,3.35
473319,2.8,2.8,3.2,4.4,4.2,2.48
996967,4.2,2.8,2.2,3.0,4.0,2.48
601792,2.0,3.4,2.0,2.8,4.6,1.86
408195,3.4,3.0,2.2,3.4,3.4,1.17
879484,2.8,2.8,3.0,3.2,3.0,2.68
536778,1.8,3.2,2.4,1.0,3.4,1.33
713605,4.0,3.6,3.2,2.6,4.2,2.69
432347,1.8,2.8,3.2,4.6,3.4,0.92
861682,2.6,3.4,2.0,2.6,4.0,2.0
285726,2.8,3.0,2.6,3.6,3.8,3.52
251143,2.6,1.8,2.6,1.0,4.2,3.65
328135,3.0,2.4,2.6,3.0,3.8,1.84
525428,4.6,3.0,2.8,1.6,4.4,2.33
703298,2.0,3.8,3.4,1.8,3.0,2.33
793457,1.6,2.0,3.6,1.2,4.2,1.86
11631,2.2,3.2,2.4,2.6,3.6,1.43
