learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
6100.0,0.123546,5.650782336791355E-11,6100.0,1.0,0.0,0.8310396475254079,1.0,1604.0,1.0,1.6,6100.0,1768.0
6200.0,0.124519,5.6952856894996416E-11,6200.0,1.0,0.0,0.8314426365008873,1.0,1604.0,1.0,2.2,6200.0,1768.0
6300.0,0.125401,5.735626858141686E-11,6300.0,1.0,0.0,0.8323131400615287,1.0,1604.0,1.0,2.8,6300.0,1768.0
6400.0,0.126271,5.7754191673464234E-11,6400.0,1.0,0.0,0.8326541236096969,1.0,1604.0,1.0,3.2,6400.0,1768.0
6500.0,0.127685,5.840093104375733E-11,6500.0,1.0,0.0,0.8336937995632423,1.0,1604.0,1.0,2.0,6500.0,1768.0
6600.0,0.129179,5.908426104320419E-11,6600.0,1.0,0.0,0.833216716343924,1.0,1604.0,1.0,2.4,6600.0,1768.0
6700.0,0.130634,5.974975311093859E-11,6700.0,1.0,0.0,0.8337377366956463,1.0,1604.0,1.0,4.0,6700.0,1768.0
6800.0,0.13219,6.046144084797964E-11,6800.0,1.0,0.0,0.8338315810364103,1.0,1604.0,1.0,2.4,6800.0,1768.0
6900.0,0.13374,6.117038428783415E-11,6900.0,1.0,0.0,0.8339236168323899,1.0,1604.0,1.0,2.6,6900.0,1768.0
7000.0,0.134762,6.16378295752737E-11,7000.0,1.0,0.0,0.8343559413023636,1.0,1604.0,1.0,1.8,7000.0,1768.0
7100.0,0.135927,6.217068061232565E-11,7100.0,1.0,0.0,0.8357906607211356,1.0,1604.0,1.0,3.2,7100.0,1768.0
7200.0,0.136913,6.262166011664601E-11,7200.0,1.0,0.0,0.8368801791130478,1.0,1604.0,1.0,3.0,7200.0,1768.0
7300.0,0.138531,6.336170559128125E-11,7300.0,1.0,0.0,0.8376095672059257,1.0,1604.0,1.0,2.8,7300.0,1768.0
7400.0,0.140065,6.406333090530501E-11,7400.0,1.0,0.0,0.8380477437554278,1.0,1604.0,1.0,3.0,7400.0,1768.0
